"Party","PartyGroup","BetterLeavePercent","GroupedPercent","GroupedPercent2","ConstituencyVote","Vote1","Vote2","Vote3","Vote4","Vote5","Vote6","Vote7","Vote8","SecondVote1","SecondVote2","SecondVote3","SecondVote4","Name","Constituency"
"Con","Con",0.5575331126,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Robert Jenrick","Newark"
"Con","Con",0.4751037638,"Second","Remain","Remain","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Against","Richard Benyon","Newbury"
"Lab","Lab",0.6166735906,"Fourth","StrongLeave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","For","Paul Farrelly","Newcastle under Lyme"
"Lab","Lab",0.4837449781,"Second","Remain","Remain","For","For","For","For","For","Against","Against","Against","For","For","For","For","Chi Onwurah","Newcastle upon Tyne Central"
"Lab","Lab",0.4113020255,"First","Remain","Remain","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Nicholas Brown","Newcastle upon Tyne East"
"Lab","Lab",0.5714743293,"Third","Leave","Leave","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Catherine McKinnell","Newcastle upon Tyne North"
"Lab","Lab",0.6025468491,"Fourth","StrongLeave","Leave","For","For","For","Abstain","Abstain","Against","Against","Abstain","For","For","For","Abstain","Jessica Morden","Newport East"
"Con","Con",0.56101102,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Anne Marie Morris","Newton Abbot"
"Lab","Lab",0.6925528289,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Yvette Cooper","Normanton Pontefract and Castle"
"SNP","Other",0.4229065403,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Patricia Gibson","North Ayrshire and Arran"
"Con","Con",0.6032021785,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","For","Against","Against","Against","Against","Scott Mann","North Cornwall"
"Con","Con",0.5703847943,"Third","Leave","Leave","Against","Against","Against","Against","Against","Abstain","Against","Against","Against","Against","Against","Against","Peter Heaton-Jones","North Devon"
"Con","Con",0.5641147657,"Third","Leave","Leave","For","Against","Against","For","Against","Against","Against","For","Abstain","Abstain","Abstain","Abstain","Simon Hoare","North Dorset"
"Lab","Lab",0.6013442628,"Third","StrongLeave","Leave","For","Against","For","Against","Abstain","Against","Against","Against","For","Against","Abstain","Abstain","Kevan Jones","North Durham"
"Con","Con",0.5329326007,"Second","Leave","Leave","For","Abstain","Against","For","Abstain","Against","Against","For","For","Abstain","Abstain","Against","Alistair Burt","North East Bedfordshire"
"Con","Con",0.6944604007,"Fourth","StrongLeave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Stephen Barclay","North East Cambridgeshire"
"Con","Con",0.6217313517,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Lee Rowley","North East Derbyshire"
"SNP","Other",0.3813719637,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Stephen Gethins","North East Fife"
"Con","Con",0.4592303848,"Second","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Ranil Jayawardena","North East Hampshire"
"Con","Con",0.5137693409,"Second","Leave","Leave","For","Against","Against","Abstain","Against","Against","Against","Abstain","For","Against","Against","Against","Sir Oliver Heald","North East Hertfordshire"
"Con","Con",0.5211688115,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Jacob Rees-Mogg","North East Somerset"
"Con","Con",0.5825016186,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Abstain","Abstain","Abstain","Bill Wiggin","North Herefordshire"
"LD","Other",0.5825388155,"Third","Leave","Leave","For","For","Abstain","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Norman Lamb","North Norfolk"
"Con","Con",0.5945746021,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Owen Paterson","North Shropshire"
"Con","Con",0.4796739156,"Second","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Liam Fox","North Somerset"
"Con","Con",0.5744267235,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Justin Tomlinson","North Swindon"
"Con","Con",0.6496979873,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Sir Roger Gale","North Thanet"
"Lab","Lab",0.5936533258,"Third","StrongLeave","Leave","For","Abstain","For","For","Abstain","Against","Against","Abstain","For","Against","For","Abstain","Mary Glindon","North Tyneside"
"Con","Con",0.6777035648,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Craig Tracey","North Warwickshire"
"Con","Con",0.569533401,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Shailesh Vara","North West Cambridgeshire"
"Lab","Lab",0.5498292758,"Third","Leave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Laura Pidcock","North West Durham"
"Con","Con",0.5452543174,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Kit Malthouse","North West Hampshire"
"Con","Con",0.6069847772,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Andrew Bridgen","North West Leicestershire"
"Con","Con",0.6614050216,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Sir Henry Bellingham","North West Norfolk"
"Con","Con",0.5036643267,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","James Gray","North Wiltshire"
"Con","Con",0.6068557353,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Michael Ellis","Northampton North"
"Con","Con",0.5961124246,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Andrew Lewer","Northampton South"
"Con","Con",0.573218222,"Third","Leave","Leave","Against","Against","Against","Against","Against","Abstain","Abstain","Against","Against","Against","Against","Against","Chloe Smith","Norwich North"
"Lab","Lab",0.4036060387,"First","Remain","Remain","For","For","For","Against","For","Against","Against","Against","For","For","For","For","Clive Lewis","Norwich South"
"TIG","Other",0.4287932214,"First","Remain","Remain","Against","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Chris Leslie","Nottingham East"
"Lab","Lab",0.6380805601,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Alex Norris","Nottingham North"
"Lab","Lab",0.4646776483,"Second","Remain","Remain","For","For","For","Abstain","For","Against","Against","Against","For","For","For","For","Lilian Greenwood","Nottingham South"
"Con","Con",0.6475463211,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Marcus Jones","Nuneaton"
