Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4
Con,Jo Churchill,Bury St Edmunds,Leave,54,Against,Against,Against,Against
Con,Colin Clark,Gordon,Remain,56,Against,Against,Against,Against
Con,Greg Clark,Tunbridge Wells,Remain,55,Abstain,Abstain,Abstain,Abstain
Con,Kenneth Clarke,Rushcliffe,Remain,59,For,Abstain,For,For
Con,Simon Clarke,Middlesbrough South and East Cle...,Leave,65,Against,Against,Against,Against
Con,James Cleverly,Braintree,Leave,62,Against,Against,Against,Against
Con,Sir Geoffrey Clifton-Brown,The Cotswolds,Remain,52,Against,Against,Against,Against
Lab,Ann Clwyd,Cynon Valley,Leave,57,For,For,Abstain,For
Lab,Vernon Coaker,Gedling,Leave,56,For,For,For,Abstain
TIG,Ann Coffey,Stockport,Remain,53,Against,For,Against,For
Con,Thérèse Coffey,Suffolk Coastal,Leave,55,Against,Against,Against,Against
Con,Damian Collins,Folkestone and Hythe,Leave,62,Against,Against,For,Against
Lab,Julie Cooper,Burnley,Leave,67,For,Abstain,For,Abstain
Lab,Rosie Cooper,West Lancashire,Leave,55,For,Against,Against,Against
Lab,Yvette Cooper,Normanton - Pontefract and Castle...,Leave,69,For,For,For,Abstain
Lab,Jeremy Corbyn,Islington North,Remain,78,For,For,For,Abstain
Con,Alberto Costa,South Leicestershire,Leave,58,For,Against,Against,Against
Con,Robert Courts,Witney,Remain,54,Against,Against,Against,Against
SNP,Ronnie Cowan,Inverclyde,Remain,64,Abstain,For,For,For
Con,Geoffrey Cox,Torridge and West Devon,Leave,57,Abstain,Abstain,Abstain,Abstain
Lab,Neil Coyle,Bermondsey and Old Southwark,Remain,74,For,For,For,For
Con,Stephen Crabb,Preseli Pembrokeshire,Leave,55,Against,Against,Against,Against
Lab,Sir David Crausby,Bolton North East,Leave,58,For,For,For,Abstain
SNP,Angela Crawley,Lanark and Hamilton East,Remain,64,Abstain,For,For,For
Lab,Mary Creagh,Wakefield,Leave,63,For,For,Abstain,For
Lab,Stella Creasy,Walthamstow,Remain,67,For,For,For,For
Con,Tracey Crouch,Chatham and Aylesford,Leave,64,Against,Against,Against,Against
Lab,Jon Cruddas,Dagenham and Rainham,Leave,70,For,Against,For,Against
Lab,John Cryer,Leyton and Wanstead,Remain,65,For,For,For,Abstain
Lab,Judith Cummins,Bradford South,Leave,64,For,Abstain,For,Abstain
Lab,Alex Cunningham,Stockton North,Leave,66,For,For,For,Abstain
Lab,Jim Cunningham,Coventry South,Leave,50,For,For,For,Abstain
Lab,Janet Daby,Lewisham East,Remain,65,For,For,Abstain,For
Lab,Nic Dakin,Scunthorpe,Leave,69,For,For,For,Abstain
LD,Sir Edward Davey,Kingston and Surbiton,Remain,59,Against,For,Against,For
Lab,Wayne David,Caerphilly,Leave,55,For,For,For,Abstain
Con,Chris Davies,Brecon and Radnorshire,Leave,52,Against,Against,Against,Against
Con,David T. C. Davies,Monmouth,Remain,52,Against,Against,Against,Against
Lab,Geraint Davies,Swansea West,Remain,57,For,For,Abstain,For
Con,Glyn Davies,Montgomeryshire,Leave,56,Against,Against,Against,Against
Con,Mims Davies,Eastleigh,Leave,54,Against,Against,Against,Against
Con,Philip Davies,Shipley,Leave,52,Against,Against,Against,Against
Con,David Davis,Haltemprice and Howden,Leave,55,Against,Against,Against,Against
SNP,Martyn Day,Linlithgow and East Falkirk,Remain,58,Abstain,For,For,For
Lab,Marsha De Cordova,Battersea,Remain,78,For,For,For,For
Lab,Gloria De Piero,Ashfield,Leave,71,For,Abstain,For,Abstain
Lab,Thangam Debbonaire,Bristol West,Remain,79,For,For,For,For
